url,projname,price,xzarea,area,position
https://guangzhou.anjuke.com/prop/view/A1137612242?from=filter-saleMetro&spread=commsearch_p&position=45&kwtype=filter&now_time=1520404669,保利龙熙,19736,广州区域,白云,罗冲围
https://guangzhou.anjuke.com/prop/view/A1138941046?from=filter-saleMetro-salesxq&spread=commsearch_p&position=9&kwtype=filter&now_time=1520404669,金碧世纪花园,37681,广州区域,黄埔,大沙地
https://guangzhou.anjuke.com/prop/view/A1132628904?from=filter-saleMetro-salesxq&spread=commsearch_p&position=43&kwtype=filter&now_time=1520404669,万方园,31132,广州区域,白云,机场路
https://guangzhou.anjuke.com/prop/view/A1115254322?from=filter-saleMetro-salesxq&spread=commsearch_p&position=22&kwtype=filter&now_time=1520404669,华景新城,42131,广州区域,天河,天河公园
https://guangzhou.anjuke.com/prop/view/A1127787475?from=filter&spread=commsearch_p&position=51&kwtype=filter&now_time=1520404669,远洋天骄,42105,广州区域,天河,沙太
https://guangzhou.anjuke.com/prop/view/A1138135862?from=filter&spread=commsearch_p&position=57&kwtype=filter&now_time=1520404669,广园东东方名都,26635,广州区域,增城,广园东
https://guangzhou.anjuke.com/prop/view/A1134373473?from=filter-saleMetro-salesxq&spread=commsearch_p&position=19&kwtype=filter&now_time=1520404669,天晟明苑,51209,广州区域,天河,岗顶
https://guangzhou.anjuke.com/prop/view/A1132734176?from=filter&spread=commsearch_p&position=40&kwtype=filter&now_time=1520404669,市府机关宿舍大院,43333,广州区域,越秀,流花
https://guangzhou.anjuke.com/prop/view/A1132356332?from=filter&spread=commsearch_p&position=50&kwtype=filter&now_time=1520404669,敏捷绿湖国际城,11710,广州区域,增城,石滩
https://guangzhou.anjuke.com/prop/view/A1138124125?from=filter-saleMetro-salesxq&spread=commsearch_p&position=27&kwtype=filter&now_time=1520404669,中海名都,55813,广州区域,海珠,江南大道北
https://guangzhou.anjuke.com/prop/view/A1126784702?from=filter-saleMetro&spread=commsearch_p&position=37&kwtype=filter&now_time=1520404669,侨基花园,23484,广州区域,番禺,市桥
https://guangzhou.anjuke.com/prop/view/A1137868602?from=filter&spread=commsearch_p&position=42&kwtype=filter&now_time=1520404669,星河湾三期(荟心园),41118,广州区域,番禺,星河湾
https://guangzhou.anjuke.com/prop/view/A1129524387?from=filter&spread=commsearch_p&position=32&kwtype=filter&now_time=1520404669,优山悦海,22195,广州区域,南沙,明珠湾
https://guangzhou.anjuke.com/prop/view/A1135853174?from=filter&spread=commsearch_p&position=36&kwtype=filter&now_time=1520404669,雅居乐剑桥郡剑桥汇,28467,广州区域,番禺,广州雅居乐
https://guangzhou.anjuke.com/prop/view/A1137607957?from=filter-saleMetro-salesxq&spread=commsearch_p&position=21&kwtype=filter&now_time=1520404669,金碧雅苑,35000,广州区域,白云,白云大道
https://guangzhou.anjuke.com/prop/view/A1136633323?from=filter-salesxq&spread=commsearch_p&position=13&kwtype=filter&now_time=1520404669,黄沙大道小区,35855,广州区域,荔湾,南岸
https://guangzhou.anjuke.com/prop/view/A1136434579?from=filter-saleMetro&spread=commsearch_p&position=38&kwtype=filter&now_time=1520404669,阳光桃源,38020,广州区域,天河,东圃
https://guangzhou.anjuke.com/prop/view/A1137711679?from=filter-saleMetro&spread=commsearch_p&position=11&kwtype=filter&now_time=1520404669,电子第七研究所小区,60563,广州区域,海珠,滨江东
https://guangzhou.anjuke.com/prop/view/A1138287538?from=filter-saleMetro&spread=commsearch_p&position=6&kwtype=filter&now_time=1520404669,羊城花园,38048,广州区域,天河,东圃
https://guangzhou.anjuke.com/prop/view/A1136144945?from=filter-salesxq&spread=commsearch_p&position=44&kwtype=filter&now_time=1520404669,祈福新邨山泉居,30128,广州区域,番禺,祈福
https://guangzhou.anjuke.com/prop/view/A1138069468?from=filter-salesxq&spread=commsearch_p&position=5&kwtype=filter&now_time=1520404669,祈福新邨B区(别墅),30232,广州区域,番禺,祈福
https://guangzhou.anjuke.com/prop/view/A1135908197?from=filter&spread=commsearch_p&position=56&kwtype=filter&now_time=1520404669,景秀南湾公馆,7553,广州区域,广州周边,佛山
https://guangzhou.anjuke.com/prop/view/A1137967014?from=filter-saleMetro&spread=commsearch_p&position=52&kwtype=filter&now_time=1520404669,市二宫小区,30769,广州区域,海珠,江南大道北
https://guangzhou.anjuke.com/prop/view/A1126989443?from=filter-saleMetro-salesxq&spread=commsearch_p&position=31&kwtype=filter&now_time=1520404669,金狮华庭,6916,广州区域,花都,狮岭
https://guangzhou.anjuke.com/prop/view/A1137546926?from=filter&spread=commsearch_p&position=49&kwtype=filter&now_time=1520404669,星河湾二期,38461,广州区域,番禺,星河湾
https://guangzhou.anjuke.com/prop/view/A1133379523?from=filter-saleMetro-salesxq&spread=commsearch_p&position=54&kwtype=filter&now_time=1520404669,中山六路小区,42142,广州区域,越秀,一德路
https://guangzhou.anjuke.com/prop/view/A1138248452?from=filter&spread=commsearch_p&position=47&kwtype=filter&now_time=1520404669,联合广场,9636,广州区域,花都,狮岭
https://guangzhou.anjuke.com/prop/view/A1136825855?from=filter&spread=commsearch_p&position=34&kwtype=filter&now_time=1520404669,东荣翰林苑,47101,广州区域,天河,长湴
https://guangzhou.anjuke.com/prop/view/A1138590465?from=filter-saleMetro-salesxq&spread=commsearch_p&position=25&kwtype=filter&now_time=1520404669,城西花园,25084,广州区域,白云,金沙洲
https://guangzhou.anjuke.com/prop/view/A1137467315?from=filter&spread=commsearch_p&position=30&kwtype=filter&now_time=1520404669,广州雅居乐花园十年小雅,38541,广州区域,番禺,广州雅居乐
https://guangzhou.anjuke.com/prop/view/A1137714153?from=filter-saleMetro&spread=commsearch_p&position=46&kwtype=filter&now_time=1520404669,紫荆小区,69285,广州区域,天河,天河北
https://guangzhou.anjuke.com/prop/view/A1137593593?from=filter&spread=commsearch_p&position=20&kwtype=filter&now_time=1520404669,祈福新邨倚云居,26168,广州区域,番禺,祈福
https://guangzhou.anjuke.com/prop/view/A1137815652?from=filter-saleMetro&spread=commsearch_p&position=26&kwtype=filter&now_time=1520404669,云山锦绣家园,46982,广州区域,白云,景泰
https://guangzhou.anjuke.com/prop/view/A1137964166?from=filter&spread=commsearch_p&position=48&kwtype=filter&now_time=1520404669,佛山人民路小区,6707,广州区域,广州周边,佛山
https://guangzhou.anjuke.com/prop/view/A1138846787?from=filter-saleMetro&spread=commsearch_p&position=41&kwtype=filter&now_time=1520404669,司马街大院,34437,广州区域,越秀,西门口
https://guangzhou.anjuke.com/prop/view/A1137804397?from=filter&spread=commsearch_p&position=4&kwtype=filter&now_time=1520404669,远洋天骄,45070,广州区域,天河,沙太
https://guangzhou.anjuke.com/prop/view/A1134046963?from=filter-saleMetro-salesxq&spread=commsearch_p&position=15&kwtype=filter&now_time=1520404669,雅怡居,32000,广州区域,天河,东圃
https://guangzhou.anjuke.com/prop/view/A1130365416?from=filter&spread=commsearch_p&position=23&kwtype=filter&now_time=1520404669,如意中心,25000,广州区域,番禺,洛溪
https://guangzhou.anjuke.com/prop/view/A1135686425?from=filter&spread=commsearch_p&position=18&kwtype=filter&now_time=1520404669,荔福路大院,31355,广州区域,海珠,宝岗大道
https://guangzhou.anjuke.com/prop/view/A1138216636?from=filter&spread=commsearch_p&position=16&kwtype=filter&now_time=1520404669,建设北路104号小区,13333,广州区域,花都,旧区
https://guangzhou.anjuke.com/prop/view/A1138782800?from=filter-saleMetro&spread=commsearch_p&position=60&kwtype=filter&now_time=1520404669,水荫路45号大院,55468,广州区域,越秀,水荫路
https://guangzhou.anjuke.com/prop/view/A1134360433?from=filter-saleMetro&spread=commsearch_p&position=53&kwtype=filter&now_time=1520404669,鸿成花园,24299,广州区域,番禺,市桥
https://guangzhou.anjuke.com/prop/view/A1129712474?from=filter&spread=commsearch_p&position=33&kwtype=filter&now_time=1520404669,海伦堡花园,20416,广州区域,黄埔,黄埔开发区
https://guangzhou.anjuke.com/prop/view/A1135539099?from=filter&spread=commsearch_p&position=29&kwtype=filter&now_time=1520404669,建设北路小区,13333,广州区域,花都,旧区
https://guangzhou.anjuke.com/prop/view/A1138672992?from=filter&spread=commsearch_p&position=3&kwtype=filter&now_time=1520404669,广州花城公寓,26595,广州区域,天河,珠江新城中
https://guangzhou.anjuke.com/prop/view/A1133796463?from=filter&spread=commsearch_p&position=39&kwtype=filter&now_time=1520404669,实地常春藤,23157,广州区域,黄埔,长岭居
https://guangzhou.anjuke.com/prop/view/A1138434245?from=filter-saleMetro&spread=commsearch_p&position=59&kwtype=filter&now_time=1520404669,中惠璧珑湾,25925,广州区域,南沙,黄阁
https://guangzhou.anjuke.com/prop/view/A1080128447?from=filter-saleMetro&spread=commsearch_p&position=75&kwtype=filter&now_time=1520404662,中央庭院,40598,广州区域,白云,黄石
https://guangzhou.anjuke.com/prop/view/A1127407506?from=filter-saleMetro-salesxq&spread=commsearch_p&position=114&kwtype=filter&now_time=1520404662,天一新村,38235,广州区域,天河,五山
https://guangzhou.anjuke.com/prop/view/A1126005424?from=filter&spread=commsearch_p&position=98&kwtype=filter&now_time=1520404662,越秀滨海珺城,22108,广州区域,南沙,金洲
https://guangzhou.anjuke.com/prop/view/A1128390252?from=filter&spread=commsearch_p&position=99&kwtype=filter&now_time=1520404662,华南碧桂园六米阳光,29090,广州区域,番禺,南村
https://guangzhou.anjuke.com/prop/view/A1126930134?from=filter&spread=commsearch_p&position=109&kwtype=filter&now_time=1520404662,亨元花园,10483,广州区域,黄埔,黄埔开发区
https://guangzhou.anjuke.com/prop/view/A1123981409?from=filter&spread=commsearch_p&position=113&kwtype=filter&now_time=1520404662,贝月湾,9565,广州区域,从化,街口
